Name of Player,Country Code,Discipline,Latitude,Longitude
SIVAKOV Pavel,ROC,Cycling Road,-22.95764,18.49041
SIX Christopher,FRANCE,Equestrian,46.227638,2.213749
SJOESTROEM Sarah,SWEDEN,Swimming,60.128161,18.643501
SKACHKOV Kirill,ROC,Table Tennis,-22.95764,18.49041
SKACHOVA Monika,SLOVAKIA,Canoe Slalom,48.669026,19.699024
SKIERKA Jakub,POLAND,Swimming,51.919438,19.145136
SKINNER Mykayla,UNITED STATES OF AMERICA,Artistic Gymnastics,-22.95764,18.49041
SKOGRAND Stine,NORWAY,Handball,60.472024,8.468946
SKORIC Maja,SERBIA,Basketball,44.016521,21.005859
SKOROBOGATCHENKO Antonina,ROC,Handball,-22.95764,18.49041
SKOUMPAKIS Dimitrios,GREECE,Water Polo,39.074208,21.824312
