Name of Player,Country Code,Discipline,Latitude,Longitude
SEBESI Lili,FRANCE,Sailing,46.227638,2.213749
SEBIC Milenko,SERBIA,Shooting,44.016521,21.005859
SECCAFIEN Andrea,CANADA,Athletics,56.130366,-106.346771
SECHSER Michelle,UNITED STATES OF AMERICA,Rowing,-22.95764,18.49041
SEDAGHAT Mahyar,ISLAMIC REPUBLIC OF IRAN,Shooting,-22.95764,18.49041
SEDDON Zak,GREAT BRITAIN,Athletics,-22.95764,18.49041
SEDIQI Abdullah,REFUGEE OLYMPIC TEAM,Taekwondo,-22.95764,18.49041
SEDJATI Djamel,ALGERIA,Athletics,28.033886,1.659626
SEDNEY Naomi,NETHERLANDS,Athletics,52.132633,5.291266
SEDNEY Zoe,NETHERLANDS,Athletics,52.132633,5.291266
SEDOYKINA Anna,ROC,Handball,-22.95764,18.49041
SEEBOHM Emily,AUSTRALIA,Swimming,-25.274398,133.775136
SEELIGER Bjoern,SWEDEN,Swimming,60.128161,18.643501
SEEMA Seema,INDIA,Wrestling,20.593684,78.96288
SEEMANOVA Barbora,CZECH REPUBLIC,Swimming,49.817492,15.472962
SEERANE Celia Beatrice,SOUTH AFRICA,Hockey,-30.559482,22.937506
SEESONDEE Sudaporn,THAILAND,Boxing,15.870032,100.992541
SEFER Antonio,ROMANIA,Football,45.943161,24.96676
SEFL Jan,CZECH REPUBLIC,Swimming,49.817492,15.472962
SEGAWA Kazumasa,JAPAN,Sailing,36.204824,138.252924
SEGEL Janja,SLOVENIA,Swimming,46.151241,14.995463
SEGER Caroline,SWEDEN,Football,60.128161,18.643501
SEGUEL Clemente,CHILE,Sailing,-35.675147,-71.542969
SEHNAL Ondrej,CZECH REPUBLIC,Basketball,49.817492,15.472962
SEIDEL Marvin,GERMANY,Badminton,51.165691,10.451526
SEIDEL Molly,UNITED STATES OF AMERICA,Athletics,-22.95764,18.49041
SEIDEMANN Melissa,UNITED STATES OF AMERICA,Water Polo,-22.95764,18.49041
SEIDL Sebastian,GERMANY,Judo,51.165691,10.451526
SEIDLER Phillip,NAMIBIA,Marathon Swimming,-22.95764,18.49041
SEIFERT Bernhard,GERMANY,Athletics,51.165691,10.451526
SEILER Nathaniel,GERMANY,Athletics,51.165691,10.451526
